#num_of_iter: 50
#num_of_exper: 20
#rows: 51
#columns: 51
#p_init_C: 0.5
#p_state_mut: 0.00
#p_strat_mut: 0.00
#p_0_neighb: 0.4
#p_1_neighb: 0.0
#prob_fix_strat: 0.00
#comp_type: loc_tourn
#p_strat_mut_type: default
#strat_mut_val: n
#sharing: n
#allC: 0.50
#allD: 0.50
#kD: 0.00
#kC: 0.00
#kDC: 0.00
#k: range
#k_values: 0 to 8
#synchronity_prob: 1.00
#optimal_num_of_1s: 676
#playerC_opponentD_payoff: 1.0
#playerC_opponentC_payoff: -1.0
#playerD_opponentD_rew: 1.0
#playerD_opponentD_pen: -1.0
#playerD_opponentC_rew: 1.0
#playerD_opponentC_pen: -1.0
#debug: n
#
#iter        av_f_C       std_f_C   av_f_C_corr  std_f_C_corr     av_av_sum    std_av_sum     av_f_allC    std_f_allC     av_f_allD    std_f_allD       av_f_kD      std_f_kD       av_f_kC      std_f_kC      av_f_kDC     std_f_kDC  av_f_strat_ch   std_f_strat_ch       av_f_0D      std_f_0D       av_f_1D      std_f_1D       av_f_2D      std_f_2D       av_f_3D      std_f_3D       av_f_4D      std_f_4D       av_f_5D      std_f_5D       av_f_6D      std_f_6D       av_f_7D      std_f_7D       av_f_8D      std_f_8D       av_f_0C      stC_f_0C       av_f_1C      stC_f_1C       av_f_2C      stC_f_2C       av_f_3C      stC_f_3C       av_f_4C      stC_f_4C       av_f_5C      stC_f_5C       av_f_6C      stC_f_6C       av_f_7C      stC_f_7C       av_f_8C      std_f_8C      av_f_0DC    stDC_f_0DC      av_f_1DC    stDC_f_1DC      av_f_2DC    stDC_f_2DC      av_f_3DC    stDC_f_3DC      av_f_4DC    stDC_f_4DC      av_f_5DC    stDC_f_5DC      av_f_6DC    stDC_f_6DC      av_f_7DC    stDC_f_7DC      av_f_8DC    stDC_f_8DC  
 20          0.1655        0.0191        0.0472        0.0066       -0.2877        0.0779        0.0037        0.0022        0.9963        0.0022           0.0           0.0           0.0           0.0           0.0           0.0        0.6834         0.0294           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 21          0.1721        0.0197        0.0534        0.0096       -0.2511        0.0844        0.0044         0.003        0.9956         0.003           0.0           0.0           0.0           0.0           0.0           0.0        0.6642          0.031           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 22          0.1643         0.023        0.0513          0.01        -0.294        0.0775        0.0045        0.0027        0.9955        0.0027           0.0           0.0           0.0           0.0           0.0           0.0        0.6739         0.0339           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 23          0.1764        0.0227        0.0464        0.0082       -0.2464        0.0826        0.0047        0.0024        0.9953        0.0024           0.0           0.0           0.0           0.0           0.0           0.0        0.6625         0.0317           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 24          0.1626        0.0233        0.0501        0.0083       -0.3006        0.0868        0.0048        0.0026        0.9952        0.0026           0.0           0.0           0.0           0.0           0.0           0.0        0.6775         0.0322           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 25          0.1773        0.0198        0.0516        0.0084       -0.2376        0.0945         0.004         0.002         0.996         0.002           0.0           0.0           0.0           0.0           0.0           0.0        0.6588         0.0381           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 26          0.1638        0.0241         0.048        0.0126        -0.307         0.085        0.0039        0.0022        0.9961        0.0022           0.0           0.0           0.0           0.0           0.0           0.0        0.6797         0.0342           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 27          0.1799         0.025        0.0474        0.0083       -0.2513        0.0865        0.0042        0.0029        0.9958        0.0029           0.0           0.0           0.0           0.0           0.0           0.0        0.6538         0.0357           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 28          0.1633        0.0219        0.0506        0.0112        -0.298        0.0919        0.0042        0.0025        0.9958        0.0025           0.0           0.0           0.0           0.0           0.0           0.0        0.6723         0.0326           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 29          0.1766        0.0236        0.0476        0.0083       -0.2503        0.0938        0.0037        0.0019        0.9963        0.0019           0.0           0.0           0.0           0.0           0.0           0.0         0.659         0.0369           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
