#num_of_iter: 500
#num_of_exper: 1
#rows: 51
#columns: 51
#p_init_C: 0.5
#p_state_mut: 0.00
#p_strat_mut: 0.00
#p_0_neighb: 0.30
#p_1_neighb: 0.10
#prob_fix_strat: 0.00
#comp_type: loc_tourn
#p_strat_mut_type: default
#strat_mut_val: n
#sharing: n
#allC: 0.2
#allD: 0.2
#kD: 0.2
#kC: 0.2
#kDC: 0.2
#k: range
#k_values: 0 to 8
#synchronity_prob: 1.00
#optimal_num_of_1s: 676
#playerC_opponentD_payoff: 1.0
#playerC_opponentC_payoff: -1.0
#playerD_opponentD_rew: 1.0
#playerD_opponentD_pen: -1.0
#playerD_opponentC_rew: 1.0
#playerD_opponentC_pen: -1.0
#debug: n
# 


#Experiment 1 

#seed: 944504714
#iter           f_C      f_C_corr        av_sum        f_allC        f_allD          f_kD          f_kC         f_kDC    f_strat_ch          f_0D          f_1D          f_2D          f_3D          f_4D          f_5D          f_6D          f_7D          f_8D          f_0C          f_1C          f_2C          f_3C          f_4C          f_5C          f_6C          f_7C          f_8C         f_0DC         f_1DC         f_2DC         f_3DC         f_4DC         f_5DC         f_6DC         f_7DC         f_8DC  
 24          0.1696        0.1464       -0.1647           0.0         0.549        0.0907        0.0996        0.2607        0.7482        0.1356        0.2076        0.5975        0.0424           0.0           0.0           0.0        0.0169           0.0        0.8185           0.0        0.1622           0.0           0.0           0.0        0.0193           0.0           0.0           0.0        0.0177           0.0           0.0        0.0044           0.0        0.0487        0.8156        0.1136  
 25          0.1918        0.1405       -0.1192           0.0        0.5386        0.0934        0.0934        0.2745        0.7182        0.1111        0.2634        0.5926        0.0247           0.0           0.0           0.0        0.0082           0.0        0.9012           0.0        0.0905           0.0           0.0           0.0        0.0082           0.0           0.0           0.0        0.0084           0.0           0.0        0.0042           0.0        0.0476        0.8151        0.1246  
 26          0.1707        0.1376       -0.1894           0.0        0.5256        0.0842        0.1057        0.2845        0.7562        0.1416        0.2922        0.5479        0.0137           0.0           0.0           0.0        0.0046           0.0        0.8655           0.0        0.1273           0.0           0.0           0.0        0.0073           0.0           0.0           0.0        0.0027           0.0           0.0        0.0014           0.0        0.0446        0.8068        0.1446  
 27          0.2007        0.1346       -0.1248           0.0        0.5252        0.0796        0.1027        0.2926        0.7097        0.1449        0.3188        0.5362           0.0           0.0           0.0           0.0           0.0           0.0        0.8839           0.0        0.0936           0.0           0.0           0.0        0.0225           0.0           0.0           0.0        0.0026           0.0           0.0           0.0           0.0        0.0499        0.7963        0.1511  
 28          0.1811        0.1257        -0.173           0.0        0.5117        0.0715        0.1069        0.3099        0.7386        0.1667        0.3118        0.5215           0.0           0.0           0.0           0.0           0.0           0.0        0.8741           0.0        0.1007           0.0           0.0           0.0        0.0252           0.0           0.0           0.0        0.0087           0.0           0.0           0.0           0.0        0.0447        0.7903        0.1563  
 29          0.1884        0.1346       -0.1449           0.0        0.5152          0.07        0.0984        0.3164         0.697        0.1648        0.2857        0.5495           0.0           0.0           0.0           0.0           0.0           0.0        0.9453           0.0        0.0391           0.0           0.0           0.0        0.0156           0.0           0.0           0.0         0.017           0.0           0.0           0.0           0.0        0.0365        0.8007        0.1458  
 30          0.1888        0.1405       -0.1335           0.0        0.5079        0.0696        0.1138        0.3087        0.7336        0.1713        0.2762        0.5525           0.0           0.0           0.0           0.0           0.0           0.0        0.9122           0.0        0.0709           0.0           0.0           0.0        0.0169           0.0           0.0           0.0        0.0112           0.0           0.0           0.0           0.0        0.0262        0.8057        0.1569  
 31          0.1888        0.1435       -0.1494           0.0        0.4917        0.0788        0.1111        0.3183        0.7228        0.1707        0.2732        0.5561           0.0           0.0           0.0           0.0           0.0           0.0        0.9377           0.0         0.045           0.0           0.0           0.0        0.0173           0.0           0.0           0.0        0.0085           0.0           0.0           0.0           0.0        0.0254        0.7947        0.1715  
 32          0.1799        0.1346       -0.1191           0.0        0.4706        0.0819        0.1184        0.3291        0.7439         0.169        0.2441        0.5869           0.0           0.0           0.0           0.0           0.0           0.0        0.9221           0.0        0.0617           0.0           0.0           0.0        0.0162           0.0           0.0           0.0        0.0023           0.0           0.0           0.0           0.0        0.0245        0.8236        0.1495  
 33          0.1972        0.1435       -0.1398           0.0        0.4621        0.0757        0.1173        0.3449         0.724        0.2183         0.335        0.4467           0.0           0.0           0.0           0.0           0.0           0.0        0.9213           0.0        0.0492           0.0           0.0           0.0        0.0295           0.0           0.0           0.0        0.0067           0.0           0.0           0.0           0.0        0.0212        0.8227        0.1494  
