#num_of_iter: 100
#num_of_exper: 11
#rows: 51
#cols: 51
#p_init_C: 0.5
#p_state_mut: 0.0
#p_strat_mut: 0.0
#p_0_neighb: 0.3
#p_1_neighb: 0.1
#comp_type: tournament
#sharing: False
#allC: 0.2
#allD: 0.2
#kD: 0.2
#kC: 0.2
#kDC: 0.2
#k_values: 0 to 8
#synchronity_prob: 1.0
#optimal_num_of_1s: 676
#playerC_opponentD_payoff: 0.0
#playerC_opponentC_payoff: 1.0
#playerD_opponentD_payoff: 0.1
#playerD_opponentC_payoff: 1.2
#debug:  False


#Experiment: 0

#seed: 7860987380687698761
#iter         f_C          f_C_corr        av_sum      f_allC      f_allD        f_kD        f_kC        f_kDC       f_strat_ch      f_0D        f_1D        f_2D        f_3D        f_4D        f_5D        f_6D        f_7D        f_8D        f_0C        f_1C        f_2C        f_3C        f_4C        f_5C        f_6C        f_7C        f_8C        f_0DC       f_1DC       f_2DC       f_3DC       f_4DC        f_5DC       f_6DC       f_7DC       f_8DC
60             0.2149        0.1766          0.476           0.0204      0.3853        0.0233      0.2845      0.2865      1.0             0.5536      0.0      0.0      0.0      0.1607      0.0714      0.0      0.1071       0.1071      0.9854      0.0      0.0073      0.0       0.0      0.0029      0.0      0.0      0.0044      0.0029      0.0029      0.0102      0.0      0.0029       0.0      0.0      0.9273      0.0538
61             0.2116        0.1766          0.4813           0.0204      0.3786        0.0246      0.2899      0.2865      1.0             0.6271      0.0      0.0      0.0      0.1017      0.0678      0.0      0.1017       0.1017      0.9856      0.0      0.0072      0.0       0.0      0.0029      0.0      0.0      0.0043      0.0029      0.0029      0.0102      0.0      0.0029       0.0      0.0      0.9302      0.0509
62             0.2157        0.1783          0.4814           0.0204      0.3653        0.0212      0.2965      0.2965      1.0             0.5686      0.0      0.0      0.0      0.1176      0.0784      0.0      0.1176       0.1176      0.986      0.0      0.007      0.0       0.0      0.0028      0.0      0.0      0.0042      0.0028      0.0028      0.0098      0.0      0.0028       0.0      0.0      0.927      0.0548
63             0.2178        0.1816          0.4906           0.02      0.3549        0.0225      0.299      0.3036      1.0             0.5556      0.0      0.0      0.0      0.1481      0.0741      0.0      0.1111       0.1111      0.9861      0.0      0.007      0.0       0.0      0.0028      0.0      0.0      0.0042      0.0027      0.0027      0.0096      0.0      0.0027       0.0      0.0      0.9287      0.0535
64             0.2157        0.1791          0.4901           0.0208      0.3499        0.0212      0.3007      0.3074      1.0             0.5686      0.0      0.0      0.0      0.1176      0.0784      0.0      0.1176       0.1176      0.9861      0.0      0.0069      0.0       0.0      0.0028      0.0      0.0      0.0042      0.0027      0.0027      0.0095      0.0      0.0027       0.0      0.0      0.9173      0.065
65             0.2145        0.1783          0.4941           0.02      0.3428        0.0208      0.3065      0.3099      1.0             0.5      0.0      0.0      0.0      0.16      0.1      0.0      0.12       0.12      0.9864      0.0      0.0068      0.0       0.0      0.0027      0.0      0.0      0.0041      0.0027      0.0027      0.0094      0.0      0.0027       0.0      0.0      0.9261      0.0565
66             0.2191        0.1812          0.5037           0.0208      0.3282        0.0196      0.319      0.3124      1.0             0.5319      0.0      0.0      0.0      0.1277      0.0851      0.0      0.1277       0.1277      0.9869      0.0      0.0065      0.0       0.0      0.0026      0.0      0.0      0.0039      0.0027      0.0027      0.0093      0.0      0.0027       0.0      0.0      0.9307      0.052
67             0.2216        0.1849          0.5057           0.0204      0.3124        0.0162      0.3286      0.3224      1.0             0.4615      0.0      0.0      0.0      0.1282      0.1026      0.0      0.1538       0.1538      0.9873      0.0      0.0063      0.0       0.0      0.0025      0.0      0.0      0.0038      0.0026      0.0026      0.009      0.0      0.0026       0.0      0.0      0.9289      0.0543
68             0.2257        0.1862          0.5107           0.0204      0.3095        0.0146      0.3336      0.3219      1.0             0.3429      0.0      0.0      0.0      0.2      0.1143      0.0      0.1714       0.1714      0.9875      0.0      0.0062      0.0       0.0      0.0025      0.0      0.0      0.0037      0.0026      0.0026      0.0091      0.0      0.0026       0.0      0.0      0.9263      0.0569
69             0.222        0.1816          0.5033           0.0212      0.3057        0.0154      0.3374      0.3203      1.0             0.2973      0.0      0.0      0.0      0.2432      0.1351      0.0      0.1622       0.1622      0.9864      0.0      0.0074      0.0       0.0      0.0025      0.0      0.0      0.0037      0.0026      0.0026      0.0091      0.0      0.0026       0.0      0.0      0.9337      0.0494
